,前出名詞,後出名詞,出現頻度
0,私,私,124
1,国民,皆さん,99
2,私,的,97
3,私,自身,90
4,私,中,88
5,原子力,事故,88
6,中,私,85
7,私,皆さん,80
8,的,私,78
9,方向,性,73
10,中,的,72
11,原子力,安全,72
12,議論,私,69
13,意味,私,67
14,私,国民,66
15,今,私,66
16,的,的,64
17,中,中,63
18,中,議論,63
19,問題,問題,62
20,私,大臣,62
21,私,議論,61
22,議論,議論,61
23,エネルギー,エネルギー,61
24,基本,的,60
25,社会,保障,60
26,私,内閣,60
27,大臣,大臣,60
28,的,形,59
29,復旧,復興,59
30,私,年,58
31,月,日,55
32,選挙,選挙,54
33,発電,所,54
34,私,責任,53
35,私,意味,53
36,原子力,エネルギー,53
37,的,議論,51
38,皆さん,私,50
39,国会,議員,49
40,総理,大臣,48
41,私,総理,48
42,中,皆さん,48
43,一般,的,48
44,安全,性,48
45,大臣,私,47
46,私,方,47
47,今回,事故,47
48,エネルギー,議論,47
49,的,中,46
